,precision,recall,f1-score,support,Copula,log_like,aic
1.0,1.000,0.993,0.997,603.000,Gaussian,2197016.431636882,-19962.622609303115
2.0,0.996,1.000,0.998,1118.000,Gaussian,1694045.3180736147,-29529.584039400466
3.0,0.997,0.961,0.979,593.000,Gaussian,4831985.350483851,-24772.905573037184
4.0,0.993,0.998,0.995,418.000,Gaussian,27146480.01996381,-18068.224060804736
5.0,0.974,0.990,0.982,803.000,Gaussian,82381118.53521466,-27870.359218017657
6.0,0.997,1.000,0.999,1188.000,Gaussian,291608.25144875253,-32672.38851669157
7.0,1.000,0.996,0.998,1074.000,Gaussian,27547246.07938347,-37619.25634857158
8.0,0.844,0.832,0.838,3381.000,Gaussian,145578.09571959282,-58967.46911879966
9.0,0.996,0.984,0.990,1861.000,Gaussian,33198225.71122723,-52360.0708688379
10.0,0.904,0.973,0.937,983.000,Gaussian,5640.933539141899,-22306.706145307224
11.0,0.961,0.991,0.975,320.000,Gaussian,138744.86620695982,-8936.42284069302
12.0,0.997,1.000,0.998,578.000,Gaussian,1822351.4904027102,-16429.17699002649
13.0,0.996,0.985,0.991,275.000,Gaussian,2115761.57467192,-6996.073019696512
14.0,0.981,0.978,0.980,321.000,Gaussian,69234.71487494395,-6103.7667719394885
15.0,0.758,0.757,0.758,2181.000,Gaussian,227827.31220658342,-41146.58769832352
16.0,0.998,0.994,0.996,542.000,Gaussian,10487.975759813775,-17197.514994554964
accuracy,0.925,0.925,0.925,0.925,,,
macro avg,0.962,0.965,0.963,16239.000,,,
weighted avg,0.925,0.925,0.925,16239.000,,,
