,precision,recall,f1-score,support
0,0.416,0.656,0.509,5795.000
1,0.915,0.929,0.922,43870.000
2,0.703,0.753,0.727,8130.000
3,0.807,0.709,0.755,4577.000
4,0.854,0.734,0.790,24275.000
5,0.852,0.876,0.864,27082.000
6,0.768,0.719,0.743,9755.000
7,0.731,0.595,0.656,3180.000
8,0.823,0.838,0.831,8830.000
9,0.961,0.887,0.922,16647.000
10,0.247,0.677,0.362,799.000
11,0.892,0.855,0.873,3192.000
12,0.935,0.819,0.873,2790.000
accuracy,0.831,0.831,0.831,0.831
macro avg,0.762,0.773,0.756,158922.000
weighted avg,0.846,0.831,0.836,158922.000
