,precision,recall,f1-score,support
0,0.429,0.660,0.520,5795.000
1,0.915,0.931,0.923,43870.000
2,0.704,0.752,0.727,8130.000
3,0.798,0.721,0.757,4577.000
4,0.856,0.734,0.790,24275.000
5,0.856,0.871,0.863,27082.000
6,0.758,0.731,0.744,9755.000
7,0.700,0.600,0.646,3180.000
8,0.822,0.840,0.831,8830.000
9,0.963,0.883,0.921,16647.000
10,0.249,0.692,0.366,799.000
11,0.903,0.852,0.876,3192.000
12,0.919,0.828,0.871,2790.000
accuracy,0.832,0.832,0.832,0.832
macro avg,0.759,0.776,0.757,158922.000
weighted avg,0.846,0.832,0.836,158922.000
