,precision,recall,f1-score,support
1.0,0.869,0.738,0.798,3630.000
2.0,0.974,0.919,0.945,25241.000
3.0,0.655,0.911,0.762,4643.000
4.0,0.646,0.667,0.656,2938.000
5.0,0.902,0.892,0.897,15185.000
6.0,0.833,0.907,0.869,16558.000
7.0,0.860,0.663,0.749,6225.000
8.0,0.810,0.714,0.759,1810.000
9.0,0.736,0.954,0.831,5613.000
10.0,0.950,0.872,0.910,10853.000
11.0,0.875,0.561,0.684,563.000
12.0,0.973,0.926,0.949,2243.000
13.0,0.950,0.913,0.931,1569.000
accuracy,0.873,0.873,0.873,0.873
macro avg,0.849,0.818,0.826,97071.000
weighted avg,0.882,0.873,0.873,97071.000
