,precision,recall,f1-score,support,Copula,log_like,aic
1.0,92.47,93.21,92.84,1989.00,Gaussian,3421674036.7772775,-36650.26627463154
2.0,95.60,95.44,95.52,5595.00,Gaussian,314184102.7656648,-79279.67806623538
3.0,78.93,72.54,75.60,630.00,Gaussian,8323467069.489713,-14827.458381566943
4.0,82.44,97.61,89.39,919.00,Gaussian,4550723.103087281,-13550.972207837223
5.0,99.50,99.26,99.38,403.00,Gaussian,54792747.64177113,-9091.609736944829
6.0,93.11,84.16,88.41,1509.00,Gaussian,285095129.2729315,-21970.584422177446
7.0,92.52,83.71,87.89,399.00,Gaussian,396936208688.6419,-8909.45967435031
8.0,81.69,86.43,83.99,1105.00,Gaussian,8955493020.659576,-18712.90692708634
9.0,100.00,98.24,99.11,284.00,Gaussian,203015571695.82156,-5652.1475358544885
accuracy,91.84,91.84,91.84,0.92,,,
macro avg,90.70,90.07,90.24,12833.00,,,
weighted avg,91.99,91.84,91.82,12833.00,,,
